"filename", "language", "JSON with Comments", "JSON", "CSS", "TypeScript", "HTML", "Markdown", "XML", "comment", "blank", "total"
"c:\Users\Jorge Garzón\Desktop\Tecnologias web\project_restaurant\project_restaurant\README.md", "Markdown", 0, 0, 0, 0, 0, 14, 0, 0, 14, 28
"c:\Users\Jorge Garzón\Desktop\Tecnologias web\project_restaurant\project_restaurant\angular.json", "JSON", 0, 101, 0, 0, 0, 0, 0, 0, 1, 102
"c:\Users\Jorge Garzón\Desktop\Tecnologias web\project_restaurant\project_restaurant\package-lock.json", "JSON", 0, 11672, 0, 0, 0, 0, 0, 0, 1, 11673
"c:\Users\Jorge Garzón\Desktop\Tecnologias web\project_restaurant\project_restaurant\package.json", "JSON", 0, 39, 0, 0, 0, 0, 0, 0, 1, 40
"c:\Users\Jorge Garzón\Desktop\Tecnologias web\project_restaurant\project_restaurant\src\app\app-routing.module.ts", "TypeScript", 0, 0, 0, 38, 0, 0, 0, 1, 4, 43
"c:\Users\Jorge Garzón\Desktop\Tecnologias web\project_restaurant\project_restaurant\src\app\app.component.css", "CSS", 0, 0, 23, 0, 0, 0, 0, 0, 4, 27
"c:\Users\Jorge Garzón\Desktop\Tecnologias web\project_restaurant\project_restaurant\src\app\app.component.html", "HTML", 0, 0, 0, 0, 3, 0, 0, 0, 2, 5
"c:\Users\Jorge Garzón\Desktop\Tecnologias web\project_restaurant\project_restaurant\src\app\app.component.spec.ts", "TypeScript", 0, 0, 0, 25, 0, 0, 0, 0, 5, 30
"c:\Users\Jorge Garzón\Desktop\Tecnologias web\project_restaurant\project_restaurant\src\app\app.component.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 0, 0, 2, 11
"c:\Users\Jorge Garzón\Desktop\Tecnologias web\project_restaurant\project_restaurant\src\app\app.module.ts", "TypeScript", 0, 0, 0, 52, 0, 0, 0, 2, 4, 58
"c:\Users\Jorge Garzón\Desktop\Tecnologias web\project_restaurant\project_restaurant\src\app\components\carousel\carousel.component.css", "CSS", 0, 0, 27, 0, 0, 0, 0, 0, 5, 32
"c:\Users\Jorge Garzón\Desktop\Tecnologias web\project_restaurant\project_restaurant\src\app\components\carousel\carousel.component.html", "HTML", 0, 0, 0, 0, 62, 0, 0, 0, 3, 65
"c:\Users\Jorge Garzón\Desktop\Tecnologias web\project_restaurant\project_restaurant\src\app\components\carousel\carousel.component.spec.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 0, 0, 5, 22
"c:\Users\Jorge Garzón\Desktop\Tecnologias web\project_restaurant\project_restaurant\src\app\components\carousel\carousel.component.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 0, 0, 3, 11
"c:\Users\Jorge Garzón\Desktop\Tecnologias web\project_restaurant\project_restaurant\src\app\components\contacto\contacto.component.css", "CSS", 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"c:\Users\Jorge Garzón\Desktop\Tecnologias web\project_restaurant\project_restaurant\src\app\components\contacto\contacto.component.html", "HTML", 0, 0, 0, 0, 30, 0, 0, 0, 0, 30
"c:\Users\Jorge Garzón\Desktop\Tecnologias web\project_restaurant\project_restaurant\src\app\components\contacto\contacto.component.spec.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 0, 0, 5, 22
"c:\Users\Jorge Garzón\Desktop\Tecnologias web\project_restaurant\project_restaurant\src\app\components\contacto\contacto.component.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 0, 0, 3, 11
"c:\Users\Jorge Garzón\Desktop\Tecnologias web\project_restaurant\project_restaurant\src\app\components\devs\devs.component.css", "CSS", 0, 0, 71, 0, 0, 0, 0, 0, 10, 81
"c:\Users\Jorge Garzón\Desktop\Tecnologias web\project_restaurant\project_restaurant\src\app\components\devs\devs.component.html", "HTML", 0, 0, 0, 0, 47, 0, 0, 0, 5, 52
"c:\Users\Jorge Garzón\Desktop\Tecnologias web\project_restaurant\project_restaurant\src\app\components\devs\devs.component.spec.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 0, 0, 5, 22
